yellow,small,stretch,adult,t
yellow,small,stretch,child,t
yellow,small,dip,adult,t
yellow,small,dip,child,t
yellow,small,stretch,adult,t
yellow,small,stretch,child,t
yellow,small,dip,adult,t
yellow,small,dip,child,t
yellow,large,stretch,adult,f
yellow,large,stretch,child,f
yellow,large,dip,adult,f
yellow,large,dip,child,f
purple,small,stretch,adult,f
purple,small,stretch,child,f
purple,small,dip,adult,f
purple,small,dip,child,f
purple,large,stretch,adult,f
purple,large,stretch,child,f
purple,large,dip,adult,f
purple,large,dip,child,f
