yellow,small,stretch,adult,t
yellow,small,stretch,adult,t
yellow,small,stretch,child,f
yellow,small,dip,adult,f
yellow,small,dip,child,f
yellow,large,stretch,adult,t
yellow,large,stretch,adult,t
yellow,large,stretch,child,f
yellow,large,dip,adult,f
yellow,large,dip,child,f
purple,small,stretch,adult,t
purple,small,stretch,adult,t
purple,small,stretch,child,f
purple,small,dip,adult,f
purple,small,dip,child,f
purple,large,stretch,adult,t
purple,large,stretch,adult,t
purple,large,stretch,child,f
purple,large,dip,adult,f
purple,large,dip,child,f
