yellow,small,stretch,adult,t
yellow,small,stretch,child,t
yellow,small,dip,adult,t
yellow,small,dip,child,f
yellow,small,dip,child,f
yellow,large,stretch,adult,t
yellow,large,stretch,child,t
yellow,large,dip,adult,t
yellow,large,dip,child,f
yellow,large,dip,child,f
purple,small,stretch,adult,t
purple,small,stretch,child,t
purple,small,dip,adult,t
purple,small,dip,child,f
purple,small,dip,child,f
purple,large,stretch,adult,t
purple,large,stretch,child,t
purple,large,dip,adult,t
purple,large,dip,child,f
purple,large,dip,child,f
